Date,Added,Added_1,Removed,Removed_2,Reason
12/16/2011,DLTR,Dollar Tree,WFR,MEMC Electronic Materials,Market capitalization changes
12/12/2011,GAS,AGL Resources.,GAS,Nicor Gas,"Nicor acquired by AGL, which retained the GAS ticker.[214]"
11/18/2011,CBE,Cooper Industries,JNS,Janus Capital Group,Janus Capital Group's market capitalization is less than $1.2 billion and is no longer representative of the large cap market space.[215]
10/31/2011,XYL,Xylem,ITT,ITT,Spun off from ITT Corp.[216]
10/14/2011,TEL,TE Connectivity,CEPH,Cephalon,Acquired by Teva Pharmaceutical Industries (TEVA).[217]
9/23/2011,MOS,The Mosaic Company,NSM,National Semiconductor,Acquired by Texas Instruments (TXN).[218]
7/5/2011,ACN,Accenture,MI,Marshall & Ilsley,Marshall & Iisley is being bought by Bank of Montreal[219]
6/30/2011,MPC,Marathon Oil,RSH,RadioShack,Market capitalization adjustments.[220]
6/1/2011,ANR,Alpha Natural Resources,MEE,Massey Energy,Alpha Natural Resources acquired Massey Energy.[221]
4/27/2011,CMG,Chipotle Mexican Grill,NOVL,Novell,Acquired by private equity firms.[222]
4/1/2011,BLK,BlackRock,GENZ,Genzyme,Acquired by Sanofi Aventis (SNY)[223]
3/31/2011,EW,Edwards Lifesciences,Q,Qwest Communications,Acquired by CenturyLink[224]
2/28/2011,COV,Covidien,MFE,McAfee,Acquired by Intel[225]
2/25/2011,JOYG,Joy Global,AYE,Allegheny Energy,Acquired by First Energy (FE).[226]
1/3/2011,MMI,Motorola Mobility,MDP,Meredith Corp,S&P constituent Motorola spun off Motorola Mobility.[227]
12/17/2010,CVC,Cablevision,KG,King Pharmaceuticals,Acquired by Pfizer.[228]
12/17/2010,FFIV,F5 Networks,EK,Eastman Kodak,Market Cap changes.[228]
12/17/2010,NFLX,Netflix,ODP,Office Depot,Market Cap changes.
12/17/2010,NFX,Newfield Exploration,NYT,The New York Times Company,Market Cap changes.
11/17/2010,IR,Ingersoll-Rand,PTV,Pactiv,Reynolds Group Holdings acquired Pactiv.[229]
8/26/2010,TYC,Tyco International,SII,Smith International,Acquired by Schlumberger (SLB)[230]
7/14/2010,CB,Chubb,MIL,Millipore,Acquired by Merck KGaA (MKGAY)[231]
6/30/2010,QEP,QEP Resources,STR,Questar,"Company split. QEP retained, but ticker changed.[232]"
6/28/2010,KMX,CarMax,XTO,XTO Energy,Acquired by ExxonMobil[233]
4/29/2010,CERN,Cerner,BJS,BJ Services,Acquired by Baker Hughes[234]
2/26/2010,HP,Helmerich & Payne,RX,IMS Health,Taken private
12/18/2009,V,Visa,CIEN,Ciena,Market capitalization change.[citation needed]
12/18/2009,MJN,Mead Johnson Nutrition,DYN,Dynegy,Market capitalization change.[citation needed]}
12/18/2009,CLF,Cliffs Natural Resources,KBH,KB Home,Market capitalization change.[citation needed]
12/18/2009,SAI,SAIC,CVG,Convergys,Market capitalization change.[citation needed]
12/18/2009,ROST,Ross Stores,MBI,MBIA,Market capitalization change.[citation needed]
11/3/2009,PCLN,Priceline.com,SGP,Schering-Plough,Acquired by Merck & Co. (MRK)[235]
9/28/2009,ARG,Airgas,CBE,Cooper Industries,Redomesticated to Ireland[236]
8/19/2009,FMC,FMC Corporation,CTX,Centex Corp.,Centex acquired by Pulte Homes.[237]
6/29/2009,PCS,MetroPCS,TEL,TE Connectivity,PCS replaced TEL.[238]
6/5/2009,FTI,FMC Technologies,COV,Covidien,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.[239]"
3/3/2009,HRL,Hormel Foods,ACAS,American Capital,Capitalization rebalance.[240]
3/3/2009,VTR,Ventas,JNY,Jones Apparel Group,Capitalization rebalance.
12/31/2008,OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.[241]
9/16/2008,HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothers filed for bankruptcy.[242]
9/12/2008,CRM,Salesforce,FRE,Freddie Mac,Capitalization rebalance.[243]
9/12/2008,FAST,Fastenal,FNM,Fannie Mae,Capitalization rebalance.[243]
7/1/2008,AKS,AK Steel,CFC,Countrywide Financial Corp,Ak Steel replaced Countrywide Financial.[244]
6/23/2008,COG,Cabot Oil & Gas,BC,Brunswick,Market capitalization change.[245]
6/23/2008,MEE,Massey Energy,OMX,OfficeMax,Market capitalization change.[245]
6/10/2008,LO,Lorillard Tobacco Company,ABK,Ambac Financial,Market Value Decline[246]
12/20/2007,RRC,Range Resources,TRB,Tribune Media,Taken private[247]
12/13/2007,GME,GameStop,DJ,Dow Jones,Acquired by News Corporation
10/26/2007,JEC,Jacobs Engineering Group,AV,Avaya,Taken private[248]
10/2/2007,EXPE,Expedia,SLR,Solectron,Solectron acquired by Flextronics.[249]
10/1/2007,TDC,Teradata,NCR,NCR Corporation,Teradata spun off by NCR Corporation.[249]
9/27/2007,TSO,Tesoro Corporation,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.[249]
9/26/2007,ICE,Intercontinental Exchange,FDC,First Data,FDC acquired by KKR.[249]
8/24/2007,LUK,Leucadia National,KSE,KeySpan,Acquired by National Grid plc[250]
7/2/2007,DFS,Discover Financial Services,ADCT,ADC Telecommunications,Discover Financial Services debuts on New York Stock Exchange.[251]
3/30/2007,KFT,Kraft Foods,TSG,Sabre Corporation,Taken Private[252]
1/10/2007,AVB,AvalonBay Communities,SBL,Symbol Technologies,Acquired by Motorola[253]
6/2/2006,JNPR,Juniper Networks,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.[254]
11/18/2005,AMZN,Amazon,T,AT&T Corporation,AT&T Corp. acquired by SBC Communications[255]
7/1/2005,STZ,Constellation Brands,GLK,Great Lakes Chemical,Acquired by Crompton Corp.
9/25/2003,ESRX,Express Scripts,QTRN,Quintiles Transnational,Taken private
12/5/2000,INTU,Intuit,BS,Bethlehem Steel,Market Cap changes.[256]
12/5/2000,SBL,Symbol Technologies,OI,Owens-Illinois,Market Cap changes.
12/5/2000,AYE,Allegheny Energy,GRA,WR Grace,Market Cap changes.
12/5/2000,ABK,Ambac Financial,CCK,Crown Holdings,Market Cap changes.
7/27/2000,JDSU,JDS Uniphase,RAD,RiteAid,Market Cap change.[257]
6/12/2000,CVG,Convergys,TMC,Times Mirror,Tribune Co. acquired Times Mirror.[258]
6/7/2000,SBUX,Starbucks,SMS,Shared Medical Systems,Siemens AG acquired Shared Medical Systems.[258]
12/8/1999,YHOO,Yahoo!,LDW,Laidlaw,Market capitalization change.[259]
